Year,PPG,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK
2009,99.94333333333333,30.477419354838712,62.78709677419354,0.48545161290322575,6.651612903225807,18.13225806451613,0.365483870967742,19.058064516129033,24.73548387096774,0.7712903225806451,41.28709677419355,20.980645161290326,7.270967741935484,4.806451612903226
2010,100.45,31.277419354838706,63.56129032258064,0.4925161290322581,6.438709677419355,18.135483870967743,0.3528387096774194,18.622580645161296,24.541935483870965,0.7591290322580647,41.72258064516129,21.241935483870968,7.216129032258064,4.864516129032259
2011,99.55333333333334,30.796774193548387,63.20322580645162,0.4875483870967743,6.4645161290322575,18.00967741935484,0.3563225806451613,18.60322580645161,24.367741935483867,0.7632903225806453,41.38387096774192,21.493548387096773,7.319354838709677,4.870967741935485
2012,96.25999999999999,30.06774193548387,63.04516129032258,0.4770967741935484,6.4064516129032265,18.387096774193544,0.34729032258064524,16.89677419354839,22.46451612903226,0.7526451612903224,42.19354838709677,20.974193548387102,7.67741935483871,5.096774193548387
2013,98.13666666666667,29.9741935483871,62.06129032258064,0.48387096774193544,7.164516129032257,19.967741935483875,0.35761290322580647,16.706451612903226,22.190322580645162,0.7534516129032258,42.13225806451613,22.138709677419353,7.806451612903226,5.135483870967741
2014,101.01,29.9741935483871,61.46451612903227,0.48851612903225805,7.741935483870967,21.535483870967738,0.3588064516129032,17.835483870967742,23.59354838709677,0.7570322580645162,42.73548387096775,22.006451612903223,7.687096774193547,4.712903225806451
2015,100.01666666666668,29.67419354838709,61.16129032258065,0.485741935483871,7.848387096774195,22.40967741935484,0.34912903225806446,17.13548387096774,22.845161290322583,0.7506451612903225,43.306451612903224,22.022580645161288,7.729032258064516,4.793548387096774
2016,102.66333333333334,29.719354838709677,60.49354838709677,0.4916129032258064,8.506451612903227,24.083870967741937,0.35280645161290325,17.690322580645166,23.354838709677423,0.7579354838709677,43.75161290322581,22.287096774193543,7.838709677419354,4.951612903225805
2017,105.59,29.39032258064516,58.40967741935484,0.5039354838709678,9.651612903225804,27.00322580645161,0.3571935483870967,17.832258064516125,23.109677419354835,0.7718064516129032,43.51935483870968,22.625806451612902,7.709677419354838,4.738709677419354
2018,106.33666666666667,29.12258064516129,57.051612903225795,0.5107419354838709,10.48709677419355,28.99677419354839,0.36174193548387096,16.612903225806456,21.6741935483871,0.7674838709677421,43.51612903225807,23.23870967741936,7.712903225806452,4.803225806451614
2019,111.20333333333335,29.71612903225807,57.20322580645161,0.520225806451613,11.361290322580647,32.00645161290322,0.355483870967742,17.67741935483871,23.0741935483871,0.7669354838709677,45.17096774193549,24.580645161290324,7.622580645161292,4.948387096774193
2020,111.68333333333332,28.62903225806452,54.70967741935483,0.5238064516129032,12.193548387096774,34.103225806451604,0.3577741935483871,17.848387096774196,23.096774193548388,0.772258064516129,44.79032258064517,24.367741935483874,7.651612903225805,4.893548387096773
2021,112.08666666666664,28.525806451612905,53.767741935483876,0.5305806451612903,12.706451612903225,34.63548387096774,0.36606451612903235,16.970967741935482,21.816129032258058,0.7786451612903224,44.3,24.80645161290322,7.577419354838711,4.880645161290323
2022,110.60666666666667,28.187096774193552,52.9225806451613,0.5329677419354838,12.438709677419356,35.18064516129032,0.3535806451612903,16.932258064516127,21.858064516129037,0.775,44.45161290322581,24.65483870967742,7.63548387096774,4.719354838709677
2023,114.68666666666667,29.64516129032258,54.09354838709677,0.5486129032258064,12.338709677419354,34.20967741935484,0.36016129032258054,18.393548387096775,23.529032258064515,0.7820000000000001,43.425806451612914,25.319354838709675,7.287096774193549,4.658064516129032
2024,114.22,29.335483870967735,53.796774193548394,0.5453225806451614,12.838709677419356,35.10645161290323,0.3656774193548387,17.025806451612905,21.72258064516129,0.7839677419354839,43.54516129032257,26.674193548387095,7.47741935483871,5.14516129032258
